FName,LName,DOB,Phone,Email,Instrument,Course,StartDate,EndDate
Naomi,Watkins,14/02/2008,0402111222,nwatkins@geemail.com,Violin,Level 1,18/11/2021,24/02/2022
Sebastian,Hickson,18/07/2007,0420343676,shicks2007@geemail.com,Guitar,Level 2,02/08/2021,22/11/2021
Patrick,Bradley,22/11/2005,0422567898,pbradley@coldmail.com,Guitar,Level 1,01/02/2022,10/05/2022
Katy,Suther,19/09/2006,0432878565,ksuther199@xyzmail.com,Vocal,Level 2,17/11/2021,30/03/2022
Michelle,Langlois,02/04/2006,0442445566,mlanglois@himail.com,Vocal,Level 2,17/11/2021,30/03/2022
Andreas,Edwards,28/08/2008,0452999888,andreas288@xyzmail.com,Flute,Level 1,14/01/2022,13/05/2022
Steven,Lewis,31/01/2009,0402123123,stevenlewis9@geemail.com,Piano,Level 1,02/02/2022,09/05/2022
Krista,Mitev,01/07/2007,0412987654,krista_mitev77@coldmail.com,Piano,Level 1,02/02/2022,09/05/2022
Martin,Barre,30/05/2009,0422456789,mbarre30may@coldmail.com,Guitar,Level 1,01/02/2022,10/05/2022
Tyler,Bourke,14/10/2008,0442333444,tylerbour14@geemail.com,Flute,Level 1,14/01/2022,13/05/2022
Maia,Walcott,07/05/2007,0401234890,maiawalcott2007@xyzmail.com,Violin,Level 1,04/02/2022,13/05/2022
Nicole,Etienne,09/09/2006,0412366788,nicole_9906@hermail.com,Guitar,Level 2,02/08/2021,22/11/2021
Erik,Graham,20/12/2008,0431454987,erik_graham_caps@capmail.com,Guitar,Level 1,01/02/2022,10/05/2022
Marta,Belleson,24/02/2007,0432232565,martabelle24@geemail.com,Vocal,Level 1,04/02/2022,13/05/2022
Mikael,Giannini,31/03/2005,0423987234,mgiannini31@xyzmail.com,Piano,Level 1,02/02/2022,09/05/2022
Ian,Anderson,28/06/2009,0412451678,ian_anderson2009@abcmail.com,Flute,Level 1,14/01/2022,13/05/2022
Pauline,Depner,12/11/2008,0411789456,pdepner_nov@capmail.com,Violin,Level 1,04/02/2022,13/05/2022
Layla,Thibault,18/06/2007,0412456987,laylathibault2007@xyzmail.com,Vocal,Level 1,04/02/2022,13/05/2022
Wenwen,Yu,23/04/2006,0401987345,wenwen@geemail.com,Piano,Level 1,18/08/2021,24/11/2021
Jason,Wineman,17/07/2004,0411911233,jwineman@himail.com,Flute,Level 3,08/02/2022,08/05/2022
